Source;Target;Type
0;1;Undirected
0;2;Undirected
3;4;Undirected
3;5;Undirected
3;6;Undirected
3;7;Undirected
3;8;Undirected
3;9;Undirected
3;10;Undirected
3;11;Undirected
3;12;Undirected
3;13;Undirected
3;14;Undirected
3;15;Undirected
3;16;Undirected
3;17;Undirected
3;18;Undirected
3;19;Undirected
3;20;Undirected
3;21;Undirected
3;22;Undirected
3;23;Undirected
3;24;Undirected
3;25;Undirected
27;28;Undirected
27;29;Undirected
27;14;Undirected
27;15;Undirected
30;31;Undirected
30;32;Undirected
30;33;Undirected
30;34;Undirected
30;35;Undirected
30;2;Undirected
4;3;Undirected
4;6;Undirected
4;36;Undirected
4;7;Undirected
4;37;Undirected
4;9;Undirected
4;10;Undirected
4;11;Undirected
4;13;Undirected
4;16;Undirected
4;17;Undirected
4;20;Undirected
4;21;Undirected
4;24;Undirected
4;38;Undirected
4;2;Undirected
5;3;Undirected
5;39;Undirected
5;6;Undirected
5;40;Undirected
5;36;Undirected
5;41;Undirected
5;42;Undirected
5;7;Undirected
5;9;Undirected
5;11;Undirected
5;12;Undirected
5;14;Undirected
5;15;Undirected
5;16;Undirected
5;17;Undirected
5;43;Undirected
5;44;Undirected
5;18;Undirected
5;45;Undirected
5;19;Undirected
5;20;Undirected
5;22;Undirected
5;24;Undirected
5;46;Undirected
5;25;Undirected
39;5;Undirected
39;36;Undirected
39;47;Undirected
39;48;Undirected
39;31;Undirected
39;49;Undirected
39;28;Undirected
39;50;Undirected
39;51;Undirected
39;1;Undirected
39;52;Undirected
39;11;Undirected
39;53;Undirected
39;14;Undirected
39;54;Undirected
39;17;Undirected
39;55;Undirected
39;56;Undirected
39;19;Undirected
39;34;Undirected
39;57;Undirected
39;58;Undirected
39;20;Undirected
39;59;Undirected
39;60;Undirected
39;22;Undirected
39;61;Undirected
39;2;Undirected
6;3;Undirected
6;4;Undirected
6;5;Undirected
6;36;Undirected
6;62;Undirected
6;47;Undirected
6;41;Undirected
6;7;Undirected
6;63;Undirected
6;8;Undirected
6;50;Undirected
6;37;Undirected
