Source;Target;Type
0;1;Directed
0;2;Directed
0;3;Directed
0;4;Directed
0;5;Directed
0;6;Directed
0;7;Directed
0;8;Directed
0;9;Directed
0;10;Directed
0;11;Directed
0;12;Directed
0;13;Directed
0;14;Directed
0;15;Directed
0;16;Directed
0;17;Directed
0;18;Directed
0;19;Directed
0;20;Directed
0;21;Directed
0;22;Directed
0;23;Directed
0;24;Directed
0;25;Directed
0;26;Directed
0;27;Directed
0;28;Directed
0;29;Directed
0;30;Directed
31;1;Directed
31;32;Directed
31;3;Directed
31;33;Directed
31;9;Directed
31;34;Directed
31;10;Directed
31;35;Directed
31;12;Directed
31;14;Directed
31;18;Directed
31;25;Directed
31;36;Directed
31;30;Directed
37;1;Directed
37;38;Directed
37;39;Directed
37;34;Directed
37;11;Directed
37;16;Directed
37;18;Directed
37;40;Directed
37;21;Directed
37;27;Directed
37;41;Directed
42;37;Directed
42;37;Directed
42;38;Directed
42;43;Directed
42;11;Directed
42;44;Directed
42;15;Directed
42;45;Directed
42;40;Directed
42;23;Directed
42;24;Directed
42;29;Directed
46;0;Directed
46;37;Directed
46;0;Directed
46;37;Directed
46;1;Directed
46;47;Directed
46;2;Directed
46;48;Directed
46;49;Directed
46;50;Directed
46;33;Directed
46;6;Directed
46;51;Directed
46;52;Directed
46;9;Directed
46;53;Directed
46;34;Directed
46;54;Directed
46;55;Directed
46;10;Directed
46;56;Directed
46;44;Directed
46;57;Directed
46;58;Directed
46;12;Directed
46;13;Directed
46;59;Directed
46;14;Directed
46;16;Directed
46;17;Directed
46;18;Directed
46;60;Directed
46;61;Directed
46;62;Directed
46;20;Directed
46;40;Directed
46;63;Directed
46;64;Directed
46;65;Directed
46;21;Directed
46;66;Directed
46;67;Directed
46;23;Directed
46;24;Directed
46;26;Directed
46;41;Directed
46;28;Directed
46;68;Directed
46;69;Directed
1;0;Directed
1;31;Directed
1;37;Directed
1;42;Directed
1;46;Directed
1;42;Directed
1;47;Directed
1;2;Directed
1;71;Directed
1;38;Directed
1;3;Directed
1;4;Directed
1;6;Directed
1;39;Directed
1;72;Directed
1;7;Directed
1;8;Directed
1;9;Directed
1;34;Directed
1;55;Directed
1;10;Directed
1;73;Directed
1;43;Directed
1;11;Directed
1;44;Directed
1;35;Directed
1;13;Directed
1;59;Directed
1;74;Directed
1;16;Directed
1;17;Directed
1;18;Directed
1;45;Directed
1;75;Directed
1;76;Directed
1;77;Directed
1;20;Directed
1;40;Directed
1;78;Directed
1;65;Directed
1;21;Directed
1;67;Directed
1;22;Directed
1;23;Directed
1;24;Directed
1;25;Directed
1;36;Directed
1;26;Directed
1;41;Directed
1;28;Directed
1;29;Directed
1;30;Directed
47;46;Directed
47;2;Directed
47;48;Directed
47;79;Directed
47;49;Directed
47;50;Directed
